Author,Date,Region,Sentence,ModernSentence_1Shot,ModernSentence_3Shot,ModernSentence_5Shot,ModernSentence_7Shot,ModernSentence_NLLB
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pur questo fu colpa tua, però che volevi cercare di vedere con gli occhi corporali la cosa invisibile.","Ma pur questo fu colpa tua, poiché volevi cercare di vedere con gli occhi fisici la cosa invisibile.","Ma pur questo fu colpa tua, poiché volevi cercare di vedere con gli occhi del corpo la cosa invisibile.","ma pur questo fu colpa tua, perché volevi cercare di vedere con gli occhi del corpo la cosa invisibile.","Ma anche questo è stato colpa tua, ma che hai cercato di vedere con gli occhi corporei la cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo in questo momento, perché tu sei mio servo, o perché è tempo di festa, o perché io non sono obbligato a risponderti.","Sì, è vero, ma non ti risponderò in questo momento, perché tu sei mio servo, oppure perché è un giorno festivo, oppure perché non devo risponderti.","È vero, ma non ti rispondo in questo momento, perché tu sei mio servo, oppure perché è un giorno di festa, oppure perché io non devo risponderti.","È vero, ma non ti rispondo in questo momento, perché sei mio servo, o perché è un giorno festivo, o perché non sono tenuto a risponderti","È vero, ma non ti risponderò in questo momento, perché tu sei il mio servo, o perché è tempo di vacanza, o perché non devo rispondere a te"
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,sì convene che l'avesse grande avere perché lo lasciasse andare via.,si convenne che egli dovesse avere un gran bene perché lo lasciasse andare via.,"Sì, conveniva che gli dessi un grande avere perché lasciasse andare via.",sì convenne che lasciasse andare via per averne un grande avere.,Dovrebbe dargli un bel po' di soldi per lasciarlo andare.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Ecco un esempio per ogni uno che si guardi di fare e di pensare tradimento: il servo, il quale gli aveva accusati, fu giustiziato, e fu data a un altro grande quantità di denaro.","Un esempio notevole a ciascuno che si guardi di fare e di pensare tradimento: il servo, il quale mi aveva denunciato, fu messo in libertà e fu donato una grande quantità di denaro.","Un esempio notevole per ciascuno che si guardasse di fare e di pensare la tradizione: il servo, che gli aveva accusato, fu rilasciato e fu donato una grande quantità di denaro.","Un esempio notevole per ciascuno che si guardi di agire e di pensare in modo traditore: il servo, che gli aveva accusato, fu catturato e fu data una grande quantità di denaro per fuggire","notevole esempio per tutti coloro che guardano a fare e pensare tradimento, il servo, che aveva accusato, è stato frantumato, e fuggito donato una grande quantità di denaro"
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,che sarebbe a lui cosa sconcia se l'avesse commesso in modo che la colpa del servo e il castigo di Platone avessero meritato egualmente.,"Cosa sarebbe vergognosa per lui se avesse commesso qualcosa di tal genere, in modo che la colpa del servo e il castigo di Platone avessero meritato la stessa pena.","cosa sarebbe vergognosa per lui se commettesse qualcosa, poiché la colpa del servo e il castigo di Platone avessero meritato di essere ugualmente giusti.","Che sarebbe per lui cosa disonesta se avesse commesso un tale atto, che la colpa del servo e il castigo di Platone avessero meritato di essere egualmente giusti",Che sarebbe una cosa disgustosa per lui se l'avesse fatto in modo che la colpa del servo e la distruzione di Platone meritasse altrettanto.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostro massimamente le sue forze, facendolo re di questa città, in cui nacque servo; a cui avvenne poi lungamente di tenere l'impero","Mostro massimamente le forze sue, dando a lui il titolo di re di questa città, nella quale nacque servo; al quale accadde in lungo tempo di possedere l'impero.","Mostro in modo massimo le sue forze, trasformando in re questa città, nella quale nacque un servo; e a lui accadde, per un lungo periodo, di tenere il dominio imperiale.","E diede il massimo della sua forza, rendendolo re di questa città, nella quale era nato servo, e a lungo trasse il potere dell'impero.","Egli mostrò le sue forze in modo grande, dando il re a questa città in cui è nato schiavo, a cui è successo il regno a lungo molto."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua forza per la proprietà del corpo a cui si unisce.,L'anima muta la sua forza per la proprietà del corpo a cui si unisce.,L'anima cambia la sua forza in virtù della proprietà di quel corpo al quale si unisce.,L'anima modifica la sua forza per la proprietà di quello corpo a cui si unisce.,L'anima cambia forza per proprietà del corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, cioè Dio e l'anima, onde in altro luogo dice S. Paolo: Chi si avvicina a Dio è uno spirito.","Sono due già non in una carne, ma in uno spirito, cioè Dio e l'anima, onde in altro luogo dice San Paolo: Chi si avvicina a Dio è uno spirito.","Sono due già non in una carne, ma in uno spirito, cioè Dio, e l'anima. Per questo, come dice San Paolo, chi si avvicina a Dio è uno spirito.","Sono due già non in una carne, ma in uno spirito, cioè Dio e l'anima; onde, come dice San Paolo, chi si avvicina a Dio è uno spirito.","Quindi i due non sono una sola carne, ma un solo spirito, e Dio e l'anima, come dice St. Paul altrove: ""Quelli che si avvicinano a Dio sono spirito""."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Pertanto, Lucano disse: ""Raccontatemi ciò che successe. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza della sua coscienza, ella così capì in poco tempo.","Per questo Lucano disse: ""Lì, quando l'anima di Pompeo ebbe sentito la chiarezza di una grande intelligenza, ella disse prima di morire: ""","Per questo motivo Lucano disse: ""Ecco, vi racconterò la storia. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza della lussuria, essa si abbandonò prima in grande scemamento"".","Per tale motivo Lucano disse: ""Ecco, vi lo racconterò. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza di Luso, ella sì come si corresse in grande agitazione.","Poi, quando l'anima di Pompeo sentì la chiarezza di sotto,"
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Sicchè dolore è a udire, quando l'usare le armi e la fatica rifiutano, con grandissimo disonore come pecore essere.","Quindi è un dolore ascoltare, quando l'uso delle armi e la fatica rifiutano, con un grande disonore come pecore che sono.","Sicchè dolore è a udire, quando l'uso delle armi e la fatica sono rifiutate, con un grande disonore come pecore che sono","Sì, il dolore è tanto maggiore, quando con l'uso delle armi e della fatica non si può eseguire, e come pecore, si vergogna.","Così il dolore è da sentire, quando l'uso le armi e la fatica rifiutano, con grande disonore come pecore essere"
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ne ebbe in fastidio Cristo quelle parole d'udire.,E non fu gradito a Cristo ascoltare tali parole.,E non ebbe alcun fastidio Cristo per sentire tali parole.,Egli non ebbe in fastidio Cristo quelle parole udite.,E non è stato a suo agio Cristo a sentire queste parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","la moltitudine di coloro di cui tu hai potuto vedere e guardare lo studio e poco prima udire le voci, e le cui mani e lances apena posso tenere.",La moltitudine di coloro di cui tu hai potuto vedere e osservare lo studio e che poco dinanzi udire le voci e le cui mani e lance appena posso trattenere.,"La grande moltitudine di cui tu hai potuto vedere e osservare lo studio e poco dinanzi udire le voci, e le cui mani e lance, a malapena posso fermare.","La grande folla di persone di cui ho potuto vedere e osservare lo studio e, poco prima, udire le voci, e le cui mani e lance sono ancora quasi in grado di essere rette.","la moltitudine di cui hai potuto vedere e contemplare lo studio e poco prima di sentire le voci, e le cui mani e lance a malapena riesco a sentire."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Ascoltare delle belle novelle e odorare dei bei fiori, quando e quanto è conveniente.","ascoltare di belle novelle e profumare di bei fiori, quando e come e quanto è conveniente.","Ascoltare novelle belle e odorare fiori belli, quando, come e quanto si deve conviene.","udire di belle novelle e odorare di bei fiori, come e quando e quanto è convenuto","Sentire buone notizie e sentire l'odore di bei fiori, come e quando e come si addice."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in uno giardino che si trovava dietro al suo albergo, quasi come se andasse pensando alla risposta.","Il re entrò in un giardino posteriore al suo albergo, quasi come se stesse pensando alla risposta.","Il re entrò in uno giardino che si trovava dietro al suo palazzo, quasi come se fosse entrato a pensare alla risposta.","Il re entrò in un giardino posteriore al suo albergo, quasi come se stesse pensando alla risposta.","Il re entrò in un giardino dietro il suo albergo, quasi come se stesse andando a pensare alla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desidero colà dove non posso andare con il corpo, con la mente vi volo.","Ma io desidero essere là dove non posso andare con il corpo, con la mente vi sono sempre presente.","Ma io desidero colà dove non posso arrivare con il corpo, con la mente vi volo.","Ma io sono desideroso di lì dove non posso andare con il corpo, ma con la mente vi volo","Ma io dissolvo dove non posso andare col corpo, con la mente ci volo"
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"Ed ecco, di subito tutta questa tumultuazione degli uccelli si levò a volo dietro all'aquila",E immediatamente tutta questa folla degli uccelli prese a volare dietro all'aquila.,"Ecco, di subito tutta questa folla di uccelli si alzò in volo dietro all'aquila.","Ecco, di subitò tutta questa folla di uccelli si levò in volo dietro all'aquila",E all'improvviso tutta questa folla di uccelli si alzò in volo dietro l'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccellini e di tutte le cose sa rendere vero il giudizio.,Anche le ragioni del volo degli uccelli e di tutte le cose sa rendere giusto il giudizio.,"Vede anche le ragioni del volo degli uccelli e di tutte le cose, la quale può rendere vero il giudizio.",Vede anche le ragioni per cui gli uccelli volano e sa rendere vero il giudizio per tutte le cose.,Vede anche le ragioni del volo degli uccelli e di tutte le cose sa fare un vero giudizio.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Or ecco quanto per la sua superbia questo uccello volava in cielo.,Ecco quanto per la sua superbia questo uccello volava in alto.,"Or ecco quanto per la sua superbia questo uccello volava in alto, fino a quando la sua vanità non fu punita.",Ora questo è quanto per la sua superbia questo uccello volava in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgona, e ho questa caratteristica che io volo nell'aria così come un uccello.","Gorgone, e ho questa meraviglia che io volo nell'aria proprio come un uccello.","Medusa, e ho questa qualità che io volo nell'aria proprio come un uccello.","Gorgone, e ho questa qualità che io volo nell'aria proprio come un uccello.","Gorgone, e ho questa proprietà che io volo per l'aria sì come un uccello""."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella matricola si scrivono giurano per Dio, per Cristo e per lo Spirito Santo.","quando nella matricola si scrivono ""giurano per Dio, per Cristo e per lo Spirito Santo""","quando nella matricola si scrivono, giurano per Dio, per Cristo e per lo Spirito Santo.","quando nella matrice si scrivono, giurano per Dio, per Cristo e per lo Spirito Santo","Quando si iscrivono, giurano per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","per necessità io ricorro a te, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo.","per necessità io ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie già combattute nel mondo.","per necessità io ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie già sono state nel mondo [..]","per necessità io ripeto che, secondo il tuo comandamento, padre santo Agostino, le battaglie già sono state nel mondo.","Per necessità ridico che, secondo il tuo comando, santo padre Agostino, le battaglie sono già state nel mondo [..]"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto più di tutte le altre saranno ricordate per averle fatte al re, quindi in nostra città il nome reale è sempre stato santo e glorioso, e se furono compagni fu il loro nome santissimo.","Molto di più memoria avranno per averle fatte al re, pertanto il nome reale è sempre stato santo e glorioso nella nostra città, e se furono compagni fu anche il loro nome santissimo.","Molto di più memoria meritarono faccendole al re, perché così nella nostra città sempre è stato santo e glorioso il nome reale, e se furono compagni fu il loro nome santissimo;","Saranno molte più le ricordi che porteranno al re, perché per questo motivo il nome reale è stato sempre santo e glorioso nella nostra città, e se furono compagni sarà santissimo il loro nome.","Molto più grande sarà il ricordo che saranno fatti al re, perché nella nostra città il nome reale è sempre stato santo e glorioso, e questi sono stati compagni del loro nome santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che superbi per lo santo proposito, e voto della mia verginità guardando le sue lodi.","Non voglio che superi per lo santo scopo, e giuro per la verginità veduta, considerando le sue virtù.","Non voglio che superi, per lo santo scopo, e la mia vota della verginità, guardando le sue lodi.","Non voglio che tu superi, per lo santo scopo, e per il voto della tua verginità, guardando le sue lodi","Non voglio, che insuperbiscite per il santo scopo, e voto di verginità vedendo le sue lodi"
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino fece un libro ch'aveva nome ""Agostino sulla Città di Dio"".","Santo Agostino scrisse un libro che aveva il nome ""Agostino sulla Città di Dio"".","Santo Agostino fece un libro ch'aveva nome ""Agostino sulla Città di Dio"".","Santo Agostino fece un libro che aveva il nome ""Agostino sulla Città di Dio"".","Sant'Agostino fece un libro chiamato ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito dire che egli avesse un maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non può essere vincolato a leggi.,"Gregorio, non ho mai sentito dire che avesse un maestro; ma il dono dello Spirito Santo non può essere vincolato da leggi.","Gregorio, non gli ho mai sentito parlare di un maestro; ma il dono dello Spirito Santo non può essere legato a una regola.","Gregorio: Non ho mai sentito dire che avesse un maestro, ma il dono dello Spirito Santo non può essere stretto dalla legge."
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"Cioè, i mercanti fiorentini passavano in nave per andare oltre il mare.",Ad esempio: Mercanti fiorentini che passavano in nave per andare all'estero.,"Per esempio, i mercanti fiorentini passavano in nave per andare all'altro mondo.","In particolare, mercanti fiorentini passavano in nave per recarsi in terra lontana.",Verbigrazia: I mercanti fiorentini passavano in barca per andare oltreoceano.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni che ho visto non crollare a causa della grandezza, perché nelle battaglie sono più utili i forti che i grandi.","Quando avrai osservato i segni che si dice che debbono esserti appariti, non andrai a crescere in grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni che ti ho mostrato, vedrai che non andrà alla grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere i segni che ho detto, veduti e riconosciuti, non si andranno a diminuire per esser gravi, perché nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere questi segni, non andare alla grandezza cadendo, perché in battaglia i forti sono più utili dei grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa che anzi è più grave, cioè essere preso, o vero fuggire, e la sua città lasciare vincere.","E, il che è ancora più grave, cioè essere catturato, o fuggire in realtà, e il suo Comune lasciare vincere.","E, cosa che è ancora più grave, cioè essere catturato, o vero fuggire, e lasciare il suo Comune vincitore.","e, cosa che è ancora più grave, cioè essere catturato, o fuggire, e lasciare vincere il proprio Comune","E, cosa è anche più grave, cioè essere catturati, o vero fuggire, e il suo comune lasciare vincere."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate veramente, che se noi non ci fossimo affrettati a fuggire, noi saremmo tutti morti.","Sappiate veramente, che se noi non ci fossimo affrettati a fuggire, tutti noi saremmo morti.","Sapete veramente che se noi non ci fossimo affrettati a fuggire, noi saremmo tutti morti.","Sappiate veramente, che se noi non ci fossimo fuggiti in fretta, tutti noi saremmo stati morti.","Sappiate davvero che se non ci fossimo affrettati a fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco cretese che, in aiuto ai nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare i nobilissimi cavalieri della gente achea lo impediva.","Un troiano coraggioso che poteva in aiuto ai nemici fuggire, ma la vergogna di abbandonare i nobilissimi cavalieri della gente achea lo fermò poco prima di lui.","Un soldato cretese che poteva fuggire aiutando i nemici, ma la vergogna di abbandonare quei nobilissimi cavalieri dell'eta' achea, poco prima di lui.","Tarco cretese, che in aiuto ai nemici poteva esserci, ma la vergogna di abbandonare i nobilissimi cavalieri della gente achea lo costrinse a rimanere lì","Tarco Cretese che era in aiuto dei nemici avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente di Achaea poco prima di lui"
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'abilità di adattarsi a fare grandi cose, cioè a mantenere la pace, ad amare Dio e il prossimo, a fare città, castelli e case.","e l'abilità di compiere cose grandiose, cioè di mantenere la pace, di amare Dio e il prossimo, di fondare città, castelli e case.","e l'abilità di fare grandi cose, cioè di mantenere la pace, amare Dio e il prossimo, e costruire città, castelli e case.","e l'abbigliamento era pensato per fare cose grandiose, cioè per mantenere la pace, amare Dio e il prossimo, costruire città, castelli e case.","e l'acconciatura per fare grandi cose, cioè per mantenere la pace e amare Dio e il prossimo, per fare città, castelli e palazzi"
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Colui che ancora non sa amare il prossimo come sé medesimo già comincia a temere i giudici di Dio.,Colui che ancora non sa amare il prossimo come se medesimo già comincia a temere i giudizi di Dio.,Colui che ancora non sa amare il prossimo come sé stesso già comincia a temere i giudizi di Dio.,Colui che ancora non sa amare il prossimo come sé stesso già comincia a temere i giudici di Dio.,Chi non ama il prossimo come se stesso ha già paura del giudizio di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, poi che è stato impennati le ali, non fugge salvo, né il porco selvatico esce bene dalle reti ove cade.","L'uccello, poi che si è impanato le ali, non fuggisce salvo, né il porco selvatico esce bene dalle reti in cui cade.","L'uccello, una volta che ha impanato le ali, non fugge salvo, né il porco selvatico escogita una buona fuga dalle reti in cui si è imbizzarrito.","L'uccello, una volta che si è impanato le ali, non scappa in salvo, né il porco selvatico scappa bene dalle reti in cui cade.","L'uccello, dopo aver spento le ali, non fugge in salvo, e il maiale selvatico non esce bene dalle reti in cui è caduto."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli chiesi, e loro fuggirono. E che bisogno è, che il tuo cuore sia chiuso al tuo sposo Cristo?","Io gli aprìi, e quelli fuggirono. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo Cristo?","Io gli aprisi, e quelli fuggirono. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo, Cristo?","Io gli aprinsi, e loro fuggirono. E che bisogno c'è, che il tuo cuore sia chiuso al tuo sposo, Cristo?",E che bisogno c'è che il tuo cuore sia chiuso al tuo sposo Cristo?
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E dunque, da che queste cose sono così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andare in qualsiasi terra ed usare questa vita fuggendo per i lussi?","E quindi, Catellina, da che queste cose sono così, tu non puoi buonamente rimanere qui e dubiti tu di andar via in qualsiasi terra e di usare questa vita fuggendo per i lusuri?","E quindi, Catellina, da dove sono queste cose, tu non puoi buonamente restar qui, dubiti tu di andare in qualsiasi terra ed usare questa vita fuggendo per evitare i dispiaceri?","E dunque, da quando queste cose sono così, Catellina, e tu non puoi buonamente rimanere qui, dubiti tu di andare in qualsiasi terra e di utilizzare questa vita fuggendo per evitare i dispiaceri?","E dunque, siccome queste cose sono così, Catellina, e tu non puoi benissimo dimorare qui, dubiti di andare in qualche terra e di usare questa vita fuggendo nei deserti"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contro la volontà del senato rimanere nell'ufficio del tribunato, furono uccisi dalla plebe, che fu incitata dai padri della conciatura.","Questi due, volendo disobbedire alla volontà del senato, furono uccisi dalla plebe, che li incitò con i loro padri [anziani].","Questi due, volendo disobbedire alla volontà del senato, decisero di rimanere nell'ufficio del tribunato, ma furono uccisi dalla plebe, che fu incitata dai padri consiglieri.","Questi due, volendo contrariamente alla volontà del senato rimanere nell'ufficio del tribunato, furono uccisi dalla plebe, spinti dai padri consiglieri.","Questi due, volendo contro la volontà del senato dimorare nell'ufficio del tribunale, furono uccisi dalla plebe, incitata dai padri arruolati."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, a cui si commette il difendersi delle province e la ventura di tutta la battaglia.","i giovani, a cui è affidato il difendere le province, e la ventura di tutta la battaglia, si commette.","i giovani, a cui è commesso il difendersi delle province e la fortuna di tutta la battaglia","i giovani, a cui spetta il difendere le provincie e la fortuna di tutta la battaglia","I giovani, ai quali si affida la difesa delle province, e l'avventura di tutta la battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dall'altezza dei Monti Romani nacquero nuovi nemici; contro i quali è contrapposto con una diversa fortuna: perché nella prima battaglia, essendo console Valerio, morirono MMMD de' Romani;","Da quei monti dei Romani nacquero nuovi nemici, contro i quali è stato contrastato con una diversa ventura: però nella prima battaglia, essendo console Valerio, morirono MMMD (mille e più) Romani.","Da quei monti dei Romani, si è fatto un nuovo nemico; contro di esso è messo in concerto una diversa fortuna: però nella prima battaglia, essendo console Valerio, morirono Mille e Mille e trenta de' Romani;","Da Roma i monti si sono allietati di nuovi nemici, contro i quali è stato messo in campo un esercito diverso: nella prima battaglia, con il console Valerio, però, sono morti 100000 romani.","Dalle montagne dei Romani si fecero nuovi nemici; contro i quali si conbatte cum diversa ventura: perché nella prima battaglia, essendo console Valerio, MMMD ne morirò de Romani;"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi ci siamo separati e partiti per debito della città, e tutti ci siamo separati per fama e per una buona fortuna.","Ora ci siamo separati e partiti a causa del debito della città, e tutti siamo stati separati dalla fama e dalla buona fortuna.","Noi siamo stati cacciati e partiti a causa di debiti della città, e tutti cacciati a causa della fama e della buona fortuna.","noi separati e partiti per dovere della città, e tutti separati dalla fama e dalla buona fortuna","E noi siamo morti per il debito della città, e tutti morti per la fama e la buona fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,Pregai i dei per me; e i vostri preghi valgono: e se voi chiedete chi ebbe fortuna di questa battaglia; io non fui vinto da lui.,Pregai i nostri dei per me; e i vostri preghieri valgono: e se voi chiedete chi ebbe fortuna di questa battaglia; io non fui sconfitto da lui.,"Pregai i nostri dei per me; i vostri preghieri valgono poco, e se voi chiedete chi ebbe ventura di questa battaglia, io non fui vinto da lui.",Pregai i Diosi per me; e i vostri preghieri valgono: e se voi chiedete chi ebbe ventura di questa battaglia; io non fui vinto da lui.,"Chiamate gli dei per me, le vostre preghiere saranno ascoltate, e se dovete chiedere chi ha vinto questa battaglia, io non sono stato sconfitto da loro."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","una villa chiamata Viterbo, con ciò fosse cosa che principi e scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò nella casa","Una villa chiamata Vitermina, in modo che nessun principe di schiavi o scellerato per caso potesse correre per ventura a vederla, allogò nella casa","Una villa chiamata Viterbo, con ciò che si potesse dire che i principi di quelli scherani, che correvano per caso in quel tempo a vedere Scipione, lo stimavano forzabile, allogò, quindi, nella casa","Una villa chiamata Viterbo, in modo che coloro che erano principi e scherani si affrettassero a quel tempo a vederlo, Scipione, stimando che venissero per forzarlo, allogò in quella casa","Una villa chiamata Vitermina, con questo era una cosa che molti principi di scherni correvano per fortuna a vederlo in quel momento. Scipione, pensando che sarebbero venuti a metterlo a dura prova, ha ospitato la casa"
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro lui e contro le sue sorelle e contro il regno e contro il alto pregio della sua nascita e della sua famiglia,contro lui e contro le sue sorelle e contro il regno e contro l'alto pregio della sua nascita e della sua famiglia.,contro lui e contro le sue sorelle e contro il regno e contro il grande pregio della sua nascita e della sua famiglia.,contro di lui e contro le sue sorelle e contro il reame e contro il gran pregio della sua nascita e della sua famiglia,contro lui e contro le sue sorelle e contro il regno e contro l ' alto valore della sua generazione e della sua famiglia .
